"","AI","BS","CG","EY","WG","WY"
"2018",0.174655293505144,0.144631364622656,0.273155199222848,0.193123407979006,0.099658171289726,0.114776563380619
"2017",0.166032839960456,0.140785795916067,0.266010917151865,0.204497649415133,0.105360017454425,0.117312780102054
"2016",0.136551846097032,0.157710197978692,0.283941321597237,0.212029820566367,0.0953669480614747,0.114399865699198
"2015",0.133339327301246,0.165025146260545,0.28198944374852,0.213165109766996,0.103910418160156,0.102570554762538
"2014",0.129389484895289,0.141407115147302,0.315193049652995,0.212526626603077,0.0985727301591536,0.102910993542183
"2013",0.130079009402312,0.100574822392206,0.336248250723628,0.213751264326664,0.109450980248491,0.109895672906699
"2012",0.117357712925335,0.132426401962883,0.327035291059918,0.20109586666274,0.106138739627958,0.115945987761166
"2011",0.116603147271676,0.179862411667069,0.287418505133149,0.20079204060852,0.100056772625503,0.115267122694082
"2010",0.132061611111096,0.187270789640894,0.287928824597008,0.185137846999146,0.112514054735598,0.0950868729162594
"2009",0.13297557488322,0.173620593543491,0.304622906903856,0.18873065521221,0.101850504507597,0.098199764949626
