,Aleutians,Bering Sea,Central Gulf of Alaska,East Yakutat/Southeast,West Yakutat,Western Gulf of Alaska,,proportions by area for each year,,,,,,
1990,469.2266424,629.4042184,1168.252421,615.0261105,434.3340434,415.4379804,,1990,0.125741346,0.168665046,0.313063279,0.164812062,0.116390976,0.11132729
1991,512.5869342,300.4030866,1064.666314,806.2418796,470.4018932,331.5562512,,1991,0.147047635,0.086177701,0.305424609,0.231289473,0.134945863,0.09511472
1992,354.6363514,249.5369674,1074.712122,743.5276021,541.769917,210.5803973,,1992,0.111704814,0.078600179,0.338517238,0.234199378,0.170648913,0.066329478
1993,437.7872396,100.4187083,1072.160665,719.3547881,530.7015826,410.1686347,,1993,0.133855672,0.03070353,0.327818569,0.21994638,0.162264705,0.125411143
1994,428.8816656,353.8196882,998.9402702,651.6611815,468.2810007,353.8200664,,1994,0.131744534,0.108686879,0.306856018,0.20017829,0.143847283,0.108686996
1995,205.4081978,169.458082,595.9026185,388.8580128,245.0747913,198.2475113,,1995,0.113928998,0.093989382,0.330515477,0.21567885,0.135929947,0.109957346
1996,173.8715135,194.1811634,783.7634127,390.6963962,248.8471745,213.1260529,,1996,0.086741209,0.096873309,0.391004739,0.194911041,0.124145147,0.106324556
1997,153.0139609,160.3001005,683.2941619,358.2285937,216.4154348,182.189036,,1997,0.087264947,0.091420284,0.389687506,0.204300307,0.123423257,0.103903699
1998,297.1479492,139.915888,522.7445781,349.3495846,178.7834429,206.1189837,,1998,0.175405756,0.082592029,0.30857493,0.206220262,0.105535458,0.121671565
1999,311.559116,136.3126296,608.1233811,334.5161568,183.12864,192.1905942,,1999,0.176437723,0.077194628,0.344383776,0.189438428,0.103706804,0.108838641
2000,260.6651749,125.6985799,506.3680504,303.7157583,158.4107032,246.840755,,2000,0.162742919,0.078478277,0.316144321,0.189620993,0.098901667,0.154111822
2001,273.6364922,256.6328195,561.1685706,290.7471471,129.6200918,294.2774223,,2001,0.151508298,0.142093627,0.310710367,0.160982203,0.071768642,0.162936862
2002,292.4252261,273.4461983,643.3631438,287.132649,171.9848704,256.9178686,,2002,0.151887908,0.142030055,0.334167757,0.149138903,0.089330262,0.133445114
2003,270.2067482,232.9960916,605.4166701,245.3670553,146.6308232,258.6968401,,2003,0.153586405,0.132435746,0.344120829,0.139467442,0.083345443,0.147044136
2004,192.6395498,230.2246523,633.7170868,253.1818419,175.5625806,178.7086997,,2004,0.115766566,0.1383533,0.38083172,0.152149403,0.105504177,0.107394834
2005,182.9714296,262.3595147,478.6849793,300.7097991,131.5463014,267.9377524,,2005,0.112652585,0.16153056,0.294718691,0.185142217,0.080990955,0.164964992
2006,239.6440984,295.551827,602.0571604,303.1087385,192.016974,230.841358,,2006,0.128618241,0.158624211,0.323127226,0.162680045,0.103056514,0.123893764
2007,195.1301667,305.7859429,473.2173296,302.0983589,169.659584,136.3682337,,2007,0.123323736,0.19325902,0.299076918,0.190928439,0.107226136,0.086185751
2008,201.2996648,297.2909414,510.0941063,236.2358641,133.6083415,171.364524,,2008,0.12987968,0.191813794,0.329115598,0.152420713,0.086204856,0.110565358
2009,209.4625051,302.999,470.4895036,266.9904981,141.0022475,215.451642,,2009,0.130392869,0.188620436,0.292885242,0.166204721,0.087775555,0.134121177
2010,165.7531478,355.49,512.1317818,353.5006679,233.4156946,158.0623581,,2010,0.093205954,0.199898372,0.287980842,0.198779735,0.131253811,0.088881285
2011,185.0030291,94.40215659,711.7141089,286.8043932,191.0198423,213.5677439,,2011,0.109956487,0.056107889,0.423007037,0.170462093,0.113532578,0.126933915
2012,194.051421,68.45934244,469.0148308,274.7762465,121.5900544,152.1350316,,2012,0.151599484,0.053482736,0.366410129,0.214664427,0.094990232,0.118852993
2013,161.4274139,268.2626462,386.243547,240.6816498,110.9725941,108.5531239,,2013,0.126496537,0.210213959,0.302665265,0.188601146,0.08695951,0.085063583
2014,180.2203037,301.25985,381.1800222,262.9944549,124.5819369,181.810798,,2014,0.125848005,0.210370032,0.266178362,0.183649271,0.086995682,0.126958648
2015,162.8730197,147.1678943,366.9894405,227.709928,164.0441773,100.3258767,,2015,0.139313643,0.125880244,0.313904881,0.194771974,0.140315394,0.085813865
2016,289.9922808,160.6884434,368.4835614,219.8014731,167.2128062,182.4956591,,2016,0.208826718,0.115713564,0.265349176,0.158281524,0.120411831,0.131417186
2017,287.2708172,183.5987425,428.2341151,197.4685966,156.4250651,147.0630228,,2017,0.205184595,0.131136305,0.305868324,0.141042917,0.111727372,0.105040488
,,,,,,,,,,,,,,
,,,,,,,,90-95 mean,0.127337167,0.094470453,0.320365865,0.211017406,0.144004614,0.102804496
,,,,,,,,all mean,0.136095117,0.126605182,0.325432458,0.18428438,0.111468892,0.116113972
